Gene ID	Common Name	Annotation	logFC: YPS606 (WT) EtOH response	Pvalue: YPS606 (WT) EtOH response	FDR: YPS606 (WT) EtOH response	logFC: YPS606 msn2/4ÆÆ EtOH response	Pvalue: YPS606 msn2/4ÆÆ  EtOH response	FDR: YPS606 msn2/4ÆÆ  EtOH response	logFC: WT v msn2/4ÆÆ: EtOH response	Pvalue: WT v msn2/4ÆÆ: EtOH response	FDR: WT v msn2/4ÆÆ: EtOH response	logFC: WT v msn2/4ÆÆ: unstressed	Pvalue: WT v msn2/4ÆÆ: unstressed	FDR: WT v msn2/4ÆÆ:unstressed	logFC: WT v msn2/4ÆÆ: EtOH absolute	Pvalue: WT v msn2/4ÆÆ: EtOH absolute	FDR: WT v msn2/4ÆÆ: EtOH absolute			
YCL063W	VAC17	Phosphoprotein involved in vacuole inheritance	-0.567443191	2.17E-08	5.00E-08	-0.209193859	0.014675098	0.020841319	0.358249332	0.003758998	0.019048343	-0.036296527	0.661994866	0.998531082	0.321952805	0.000352361	0.001468639			
YEL042W	GDA1	Guanosine diphosphatase located in the Golgi	-1.164455815	1.65E-17	8.08E-17	-0.801545445	2.93E-12	1.15E-11	0.36291037	0.003756513	0.019048343	-0.074326602	0.378788606	0.998531082	0.288583768	0.00131938	0.004585962			
YGR094W	VAS1	Mitochondrial and cytoplasmic valyl-tRNA synthetase	-1.113493636	5.03E-18	2.57E-17	-0.777387539	7.39E-13	3.13E-12	0.336106097	0.003760944	0.019048343	0.028303456	0.71703289	0.998531082	0.364409553	2.71E-05	0.000156641			
YKL021C	MAK11	Protein involved in an early step of 60S ribosomal subunit biogenesis	-2.306173967	5.62E-25	6.83E-24	-1.859842282	7.63E-22	9.92E-21	0.446331685	0.003762676	0.019048343	0.030925879	0.756253041	0.998531082	0.477257564	5.72E-05	0.000300304			
YOL144W	NOP8	Nucleolar protein required for 60S ribosomal subunit biogenesis	-3.24212839	3.31E-25	4.09E-24	-2.629592513	5.58E-23	8.70E-22	0.612535877	0.003773982	0.019088785	0.185815133	0.141952007	0.998531082	0.79835101	7.19E-06	4.75E-05			
YNL085W	MKT1	Protein similar to nucleases that forms a complex with Pbp1p	-0.422389593	6.19E-07	1.25E-06	-0.109211102	0.138187776	0.169922846	0.31317849	0.003777402	0.019089309	0.026608588	0.714948177	0.998531082	0.339787078	2.67E-05	0.000154536			
YER098W	UBP9	Putative ubiquitin-specific protease that cleaves ubiquitin-protein fu	2.15232394	5.08E-18	2.59E-17	1.496068342	9.41E-13	3.93E-12	-0.656255598	0.003788889	0.019130566	0.170455281	0.310683217	0.998531082	-0.485800317	0.000858534	0.003169802			
YOL117W	RRI2	Subunit of the COP9 signalosome (CSN) complex	1.389056193	1.63E-11	4.84E-11	0.718263076	3.17E-05	6.20E-05	-0.670793117	0.003808682	0.019213649	0.186047809	0.268903857	0.998531082	-0.484745308	0.001530735	0.005247714			
YGR204W	ADE3	Cytoplasmic trifunctional enzyme	-0.104501442	0.352280976	0.388156451	0.375461285	0.001536143	0.002487912	0.479962727	0.003827712	0.01929274	0.035406722	0.751555074	0.998531082	0.515369448	3.22E-05	0.000181571			
YMR192W	GYL1	Putative GTPase activating protein (GAP) with a role in exocytosis	-0.236960589	0.005677248	0.007978086	0.112426772	0.169437131	0.204921566	0.34938736	0.003856437	0.019420517	-0.006785447	0.933890545	0.998531082	0.342601913	0.000110334	0.000538079			
YDL226C	GCS1	ADP-ribosylation factor GTPase activating protein (ARF GAP)	-0.445999888	6.80E-07	1.38E-06	-0.116120947	0.134545346	0.165869139	0.329878941	0.00389655	0.019605369	0.01681768	0.826920254	0.998531082	0.346696621	4.59E-05	0.000247489			
YHR065C	RRP3	Protein involved in rRNA processing	-5.058678435	1.53E-30	4.92E-29	-4.343294718	2.71E-29	1.29E-27	0.715383716	0.003899974	0.019605457	0.001905926	0.988268204	0.998929735	0.717289643	0.000669794	0.002559983			
YEL026W	SNU13	RNA binding protein	-2.827323646	7.19E-28	1.32E-26	-2.37534804	3.76E-25	8.73E-24	0.451975606	0.003904256	0.019609858	-0.104913553	0.317379612	0.998531082	0.347062052	0.002086384	0.006846766			
YGR061C	ADE6	Formylglycinamidine-ribonucleotide (FGAM)-synthetase	-2.340242973	1.38E-25	1.79E-24	-1.907839341	2.38E-22	3.38E-21	0.432403632	0.00392268	0.019685219	0.030473913	0.761763612	0.998531082	0.462877545	3.79E-05	0.000208993			
YPL237W	SUI3	Beta subunit of the translation initiation factor eIF2	-1.644653732	1.42E-22	1.24E-21	-1.275102322	1.44E-18	1.22E-17	0.369551409	0.003949958	0.019804843	-0.060348406	0.483498783	0.998531082	0.309203004	0.000857267	0.003167157			
YDR381W	YRA1	Nuclear polyadenylated RNA-binding protein	0.561607393	4.34E-08	9.71E-08	0.19640216	0.025559839	0.035163105	-0.365205234	0.003958216	0.0198166	-0.051956457	0.544860956	0.998531082	-0.41716169	1.24E-05	7.78E-05			
YPL235W	RVB2	"ATP-dependent DNA helicase, also known as reptin"	-0.662329633	6.54E-13	2.15E-12	-0.379064185	7.44E-07	1.72E-06	0.283265448	0.003959189	0.0198166	-0.02730482	0.679528419	0.998531082	0.255960629	0.000352656	0.001468806			
YHR203C	RPS4B	Protein component of the small (40S) ribosomal subunit	-1.427819446	8.01E-18	4.01E-17	-0.997249401	9.63E-13	4.01E-12	0.430570045	0.003971703	0.019861963	-0.093504638	0.354938843	0.998531082	0.337065407	0.001614666	0.005499419			
YEL015W	EDC3	Non-essential conserved protein with a role in mRNA decapping	-0.577725111	1.10E-10	3.03E-10	-0.284003085	0.000137098	0.000251317	0.293722026	0.003980162	0.019886992	0.062593999	0.362922181	0.998531082	0.356316025	5.08E-06	3.46E-05			
YLR397C	AFG2	"ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex"	-2.067791267	2.24E-22	1.91E-21	-1.602014664	1.34E-18	1.14E-17	0.465776603	0.003993558	0.019936618	-0.117266822	0.268665283	0.998531082	0.348509781	0.003275729	0.010061417			
YNL035C	YNL035C	Nuclear protein of unknown function	-0.082786368	0.397718406	0.434891175	0.331070367	0.00124627	0.00203389	0.413856735	0.0040372	0.020137022	-0.050907705	0.603781671	0.998531082	0.362949029	0.000440248	0.001780326			
YDR137W	RGP1	Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p)	-0.510953675	5.68E-06	1.06E-05	-0.09044159	0.356717219	0.402127755	0.420512085	0.004046631	0.02016599	0.027474545	0.779994202	0.998531082	0.447986631	4.13E-05	0.000225953			
YGR097W	ASK10	Regulator of the Fps1p glycerol channel	3.504788262	1.40E-30	4.59E-29	3.035880043	2.67E-28	1.02E-26	-0.468908219	0.004050015	0.02016599	-0.043890932	0.694272012	0.998531082	-0.512799151	2.15E-05	0.000127439			
YCL049C	YCL049C	Protein of unknown function	2.397415547	6.74E-29	1.55E-27	2.027328696	5.11E-26	1.37E-24	-0.370086851	0.004099689	0.020395689	-0.041285832	0.64522602	0.998531082	-0.411372683	1.28E-05	7.98E-05			
YOL089C	HAL9	Putative transcription factor containing a zinc finger	-0.896501788	7.44E-10	1.92E-09	-0.411219371	0.00067008	0.001130747	0.485282417	0.004106972	0.020414277	-0.076842416	0.495687918	0.998531082	0.408440001	0.000910966	0.003329219			
YKR105C	VBA5	NA	0.154311954	0.866177387	0.881790568	4.954615475	3.99E-05	7.74E-05	4.800303522	0.004133664	0.020529222	-2.710345821	0.065453291	0.998531082	2.089957701	0.004257581	0.012658387			
YDR466W	PKH3	Protein kinase with similarity to mammalian PDK1 and yeast Pkh1p/Phk2p	-0.051343668	0.612511883	0.644419375	-0.483048254	2.06E-05	4.12E-05	-0.431704586	0.004149269	0.020588961	0.013835084	0.891547547	0.998531082	-0.417869503	0.000156924	0.000730788			
YOR094W	ARF3	Glucose-repressible ADP-ribosylation factor	-0.855001319	9.49E-06	1.74E-05	-0.138547497	0.404557389	0.449977262	0.716453822	0.004177789	0.020712623	-0.016496981	0.92110525	0.998531082	0.699956841	0.000161812	0.000751122			
YMR093W	UTP15	Nucleolar protein	-1.752969454	6.24E-28	1.17E-26	-1.464947448	5.22E-25	1.18E-23	0.288022007	0.004184122	0.020726169	-0.079480128	0.235338099	0.998531082	0.208541878	0.004048828	0.012125418			
YGR163W	GTR2	Subunit of a TORC1-stimulating GTPase and the EGO/GSE complex	0.43201782	1.83E-06	3.56E-06	0.76760673	1.51E-12	6.11E-12	0.335588911	0.00420957	0.020834297	-0.188220115	0.023678812	0.933529072	0.147368796	0.061724029	0.116908033			
YOR168W	GLN4	Glutamine tRNA synthetase	-1.500429017	3.56E-24	3.83E-23	-1.194541736	1.78E-20	1.96E-19	0.305887281	0.004214542	0.020840984	0.045117657	0.530461821	0.998531082	0.351004939	1.46E-05	8.94E-05			
YGL248W	PDE1	Low-affinity cyclic AMP phosphodiesterase	1.275957785	1.36E-13	4.73E-13	0.756340796	1.86E-07	4.54E-07	-0.519616989	0.004228785	0.020893467	0.009281849	0.942450893	0.998531082	-0.51033514	6.29E-05	0.000325975			
YOL045W	PSK2	PAS-domain containing serine/threonine protein kinase	-0.610930164	1.42E-08	3.32E-08	-0.987300925	2.42E-14	1.20E-13	-0.37637076	0.004242367	0.020942592	-0.056237974	0.522008041	0.998531082	-0.432608734	1.64E-05	9.95E-05			
YNL006W	LST8	Subunit of TORC1 and TORC2 involved in TOR signaling	0.842011659	3.66E-10	9.75E-10	0.393877075	0.000546001	0.000930092	-0.448134584	0.004251831	0.020971327	-0.042950415	0.691153116	0.998531082	-0.491084999	2.01E-05	0.00011954			
YCR100C	EMA35	Protein involved in protein sorting	1.889802423	2.79E-08	6.35E-08	0.714331569	0.010267688	0.014913149	-1.175470854	0.004271274	0.021049189	0.767691237	0.015101969	0.784151851	-0.407779616	0.103062075	0.17655515			
YKR094C	RPL40B	Ubiquitin-ribosomal 60S subunit protein L40B fusion protein	-1.410537237	6.37E-17	2.94E-16	-0.963615817	1.04E-11	3.86E-11	0.446921421	0.004277484	0.021061762	-0.070080799	0.506654093	0.998531082	0.376840622	0.000844812	0.003123144			
YIL157C	COA1	Mitochondrial inner membrane protein	0.431679115	0.000211437	0.000342248	-0.026260156	0.809321749	0.834250714	-0.457939271	0.004287966	0.021095328	-0.135153834	0.220005362	0.998531082	-0.593093106	1.45E-06	1.12E-05			
YLR225C	YLR225C	Putative protein of unknown function	1.009549576	1.67E-11	4.95E-11	0.529660457	2.73E-05	5.39E-05	-0.47988912	0.004294398	0.02110893	0.028038161	0.811188513	0.998531082	-0.451850959	0.000144038	0.000676008			
YBR195C	MSI1	Subunit of chromatin assembly factor I (CAF-1)	-0.904560708	1.83E-12	5.88E-12	-0.510945886	1.42E-06	3.21E-06	0.393614822	0.004303044	0.021132192	-0.070396412	0.442894495	0.998531082	0.32321841	0.001284993	0.004485882			
YNL217W	PPN2	Zn2+-dependent endopolyphosphatase	-0.189455521	0.044157989	0.055997661	0.198213464	0.034196981	0.046206062	0.387668985	0.004306474	0.021132192	-0.024343374	0.791260581	0.998531082	0.363325611	0.00023561	0.001036036			
YDR164C	SEC1	Sm-like protein involved in docking and fusion of exocytic vesicles	-0.246891575	0.004955418	0.007025465	0.10646728	0.204491152	0.244100181	0.353358855	0.004327089	0.021215269	-0.011625454	0.889626891	0.998531082	0.341733401	0.000161801	0.000751122			
YCR024C	SLM5	Mitochondrial asparaginyl-tRNA synthetase	0.1801016	0.099944843	0.120452788	0.636533309	4.42E-07	1.04E-06	0.456431709	0.004331986	0.021221202	-0.259065109	0.022114792	0.912881537	0.1973666	0.067600039	0.126005772			
YER057C	HMF1	Member of the p14.5 protein family	0.632208791	1.74E-07	3.71E-07	0.198897103	0.05756579	0.075546896	-0.433311688	0.004357057	0.021325867	0.064983858	0.531046715	0.998531082	-0.36832783	0.000696779	0.002645556			
YBR121C	GRS1	Cytoplasmic and mitochondrial glycyl-tRNA synthase	-1.08399017	1.13E-18	6.23E-18	-0.775328699	9.80E-14	4.52E-13	0.308661471	0.004372773	0.02134833	-0.031423086	0.667061803	0.998531082	0.277238385	0.000425391	0.001730425			
YER132C	PMD1	Protein with an N-terminal kelch-like domain	-1.311219961	3.57E-17	1.69E-16	-0.902581851	4.23E-12	1.64E-11	0.40863811	0.004366621	0.02134833	-0.108992832	0.254453797	0.998531082	0.299645278	0.003747128	0.01132203			
YFL018C	LPD1	Dihydrolipoamide dehydrogenase	0.442346121	7.86E-08	1.72E-07	0.15022054	0.034297411	0.046320013	-0.292125582	0.004371177	0.02134833	-0.0098715	0.886744693	0.998531082	-0.301997082	6.74E-05	0.000346492			
YDR147W	EKI1	Ethanolamine kinase	0.026783219	0.796159164	0.818045725	0.462195052	4.43E-05	8.57E-05	0.435411833	0.004384303	0.021350297	-0.035608967	0.733153904	0.998531082	0.399802865	0.000278829	0.001204908			
YOR349W	CIN1	Tubulin folding factor D involved in beta-tubulin (Tub2p) folding	1.230889902	2.03E-15	8.20E-15	0.79434567	1.14E-09	3.48E-09	-0.436544232	0.004383095	0.021350297	-0.007384649	0.944926825	0.998531082	-0.443928881	5.29E-05	0.000279938			
YPR162C	ORC4	Subunit of the origin recognition complex (ORC)	-0.142341865	0.204147559	0.233938553	0.323528865	0.004783435	0.007236124	0.46587073	0.004378951	0.021350297	-0.014800669	0.894115914	0.998531082	0.451070061	0.000151415	0.000707423			
YEL022W	GEA2	Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs)	-0.448264223	5.81E-06	1.08E-05	-0.081543834	0.349405081	0.394759526	0.366720389	0.004485407	0.021824177	0.077598079	0.374608256	0.998531082	0.444318467	6.40E-06	4.28E-05			
YMR210W	MGL2	Monoacylglycerol and triacylglycerol lipase	0.929861874	5.04E-11	1.44E-10	0.477166232	5.38E-05	0.000102977	-0.452695642	0.00453338	0.022038966	0.259024902	0.022818271	0.912881537	-0.19367074	0.069603646	0.129113305			
YNL162W	RPL42A	Ribosomal 60S subunit protein L42A	-1.760203307	1.02E-18	5.64E-18	-1.271208934	4.94E-14	2.36E-13	0.488994373	0.004546998	0.022086513	-0.032410683	0.779852707	0.998531082	0.45658369	0.000294016	0.00125639			
YLL040C	VPS13	Lipid transport protein	1.709838683	2.25E-24	2.52E-23	1.368983742	1.09E-20	1.23E-19	-0.340854942	0.004598864	0.022319613	-0.005255387	0.949184539	0.998929735	-0.346110328	7.78E-05	0.000393327			
YLR450W	HMG2	HMG-CoA reductase	1.210040691	8.88E-15	3.41E-14	0.767670563	4.31E-09	1.26E-08	-0.442370128	0.004603658	0.022324057	-0.035360156	0.739620769	0.998531082	-0.477730284	3.60E-05	0.000199198			
YIL113W	SDP1	Stress-inducible dual-specificity MAP kinase phosphatase	3.457730226	1.65E-20	1.13E-19	2.308007916	8.58E-11	2.94E-10	-1.14972231	0.004618971	0.022379457	-1.139030869	0.000763903	0.133243224	-2.288753179	3.73E-16	1.50E-14			
YHR148W	IMP3	Component of the SSU processome	-3.205461968	1.09E-23	1.10E-22	-2.559029927	4.71E-21	5.56E-20	0.646432041	0.004635092	0.022438678	0.031529873	0.817096763	0.998531082	0.677961914	0.000228782	0.001009868			
YDL046W	NPC2	"Sterol transport protein, functional homolog of human NPC2 Niemann-Pic"	0.767915794	5.04E-07	1.03E-06	0.219130282	0.099707999	0.126052985	-0.548785513	0.004668552	0.022581669	-0.064902429	0.621787518	0.998531082	-0.613687941	2.41E-05	0.000141232			
YDL248W	COS7	Endosomal protein involved in turnover of plasma membrane proteins	2.177594554	4.78E-19	2.74E-18	1.58709997	2.38E-14	1.19E-13	-0.590494584	0.004714878	0.022786595	-0.093826006	0.518881204	0.998531082	-0.68432059	9.13E-06	5.88E-05			
YDL054C	MCH1	Protein with similarity to mammalian monocarboxylate permeases	1.247398973	3.10E-12	9.80E-12	0.695735237	3.92E-06	8.44E-06	-0.551663736	0.004723691	0.022810039	-0.069686512	0.608015029	0.998531082	-0.621350248	1.44E-05	8.86E-05			
YBR115C	LYS2	Alpha aminoadipate reductase	-2.154490945	3.05E-21	2.29E-20	-1.650045858	2.65E-17	1.90E-16	0.504445087	0.004753572	0.022935089	0.045499731	0.702078154	0.998531082	0.549944818	4.67E-05	0.000250609			
YGR145W	ENP2	Component of the SSU	-6.287765379	2.77E-34	2.18E-32	-5.530789322	9.31E-34	1.99E-31	0.756976056	0.004761671	0.022954925	0.077439002	0.515094355	0.998531082	0.834415058	0.000577295	0.002246727			
YLR029C	RPL15A	Ribosomal 60S subunit protein L15A	-1.399604783	1.30E-18	7.11E-18	-1.006634898	8.38E-14	3.91E-13	0.392969886	0.004768673	0.022969443	-0.072392007	0.442366318	0.998531082	0.320577878	0.001338468	0.004646698			
YGL123W	RPS2	Protein component of the small (40S) subunit	-1.58807597	4.49E-19	2.59E-18	-1.157221473	2.02E-14	1.02E-13	0.430854497	0.004790891	0.023057166	-0.104472034	0.31344359	0.998531082	0.326382464	0.002696247	0.008569628			
YER082C	UTP7	Nucleolar protein	-3.392698182	1.34E-26	2.00E-25	-2.827341134	2.41E-24	4.79E-23	0.565357048	0.004919234	0.023655063	0.086995409	0.486725632	0.998531082	0.652352457	5.02E-05	0.000267534			
YGL059W	PKP2	Mitochondrial protein kinase	2.435702925	1.91E-22	1.65E-21	1.88426559	3.17E-18	2.54E-17	-0.551437335	0.005031143	0.024173003	0.127408697	0.391707692	0.998531082	-0.424028638	0.000596202	0.002310934			
YHL023C	NPR3	Subunit of the Iml1p/SEACIT complex	0.589781323	2.53E-07	5.32E-07	0.992717094	2.83E-13	1.25E-12	0.402935771	0.005035951	0.024175926	-0.009501335	0.923725947	0.998531082	0.393434436	0.000139585	0.000659107			
YBR197C	YBR197C	Protein of unknown function	-0.392913638	0.012656999	0.017113857	-1.029463386	3.62E-08	9.56E-08	-0.636549748	0.005135197	0.024611317	0.039725016	0.790913528	0.998531082	-0.596824732	0.000428721	0.001740282			
YMR119W-A	NA	NA	1.942185833	4.17E-15	1.64E-14	1.246381123	2.59E-09	7.69E-09	-0.69580471	0.005133921	0.024611317	0.073953251	0.685480509	0.998531082	-0.621851458	0.000169437	0.000780847			
YBR088C	POL30	Proliferating cell nuclear antigen (PCNA)	-2.233863977	2.40E-23	2.35E-22	-1.776454752	6.21E-20	6.37E-19	0.457409225	0.005189823	0.024834859	-0.071678719	0.50507331	0.998531082	0.385730506	0.001408644	0.004863183			
YOR335C	ALA1	Cytoplasmic and mitochondrial alanyl-tRNA synthetase	-1.82154866	6.26E-26	8.52E-25	-1.497046174	1.04E-22	1.55E-21	0.324502486	0.005190468	0.024834859	0.004324101	0.955890976	0.998929735	0.328826587	0.000128485	0.000615273			
YDR099W	BMH2	"14-3-3 protein, minor isoform"	1.029532838	3.38E-16	1.46E-15	0.692616082	7.49E-11	2.58E-10	-0.336916757	0.005223168	0.024942782	0.008338982	0.918791814	0.998531082	-0.328577774	0.000195045	0.000883303			
YER096W	SHC1	Sporulation-specific activator of Chs3p (chitin synthase III)	2.833645923	1.72E-23	1.71E-22	2.228727709	3.15E-19	2.89E-18	-0.604918213	0.005223628	0.024942782	-0.04726675	0.774208019	0.998531082	-0.652184963	4.26E-06	2.96E-05			
YLR046C	YLR046C	Putative membrane protein	0.124964339	0.175766028	0.203973641	0.503155534	1.73E-06	3.88E-06	0.378191195	0.005226024	0.024942782	-0.270597451	0.005374119	0.475898911	0.107593744	0.236115177	0.34363564			
YOR378W	AMF1	Low affinity NH4+ transporter	1.137712927	1.58E-05	2.84E-05	0.153597768	0.522124704	0.566940161	-0.984115158	0.00523447	0.024962392	0.223800939	0.37502971	0.998531082	-0.760314219	0.001405264	0.00485516			
YGR035C	YGR035C	"Putative protein of unknown function, potential Cdc28p substrate"	-5.378457105	1.15E-23	1.16E-22	-4.192078358	1.10E-22	1.63E-21	1.186378747	0.005255825	0.025043486	0.218818804	0.210733137	0.998531082	1.405197551	0.0003503	0.001463228			
YAR019C	CDC15	Hippo-like kinase of the Mitotic Exit Network	0.852013015	2.13E-09	5.33E-09	0.379963346	0.001790771	0.002860859	-0.472049669	0.005323183	0.025343456	0.003989504	0.972913142	0.998929735	-0.468060165	0.000119202	0.00057561			
YJL191W	RPS14B	Protein component of the small (40S) ribosomal subunit	-1.48124529	1.90E-19	1.15E-18	-1.093277977	6.17E-15	3.31E-14	0.387967313	0.005398197	0.025679358	-0.047176312	0.615839153	0.998531082	0.340791001	0.000756537	0.002836891			
YFL001W	DEG1	tRNA:pseudouridine synthase	-1.573408825	3.95E-18	2.04E-17	-1.127437804	1.34E-13	6.09E-13	0.445971022	0.005412499	0.025726131	-0.027632636	0.792659188	0.998531082	0.418338386	0.000484945	0.001939779			
YKR084C	HBS1	GTPase with similarity to translation release factors	-0.095078327	0.23326079	0.264613541	0.228854088	0.005341105	0.008031309	0.323932415	0.005460624	0.02588136	0.014091088	0.85879999	0.998531082	0.338023504	8.42E-05	0.000422028			
YML132W	COS3	Endosomal protein involved in turnover of plasma membrane proteins	2.632942797	3.50E-18	1.81E-17	1.873874734	5.06E-13	2.19E-12	-0.759068064	0.005455454	0.02588136	-0.069482307	0.730935824	0.998531082	-0.82855037	8.76E-06	5.67E-05			
YMR195W	ICY1	Protein of unknown function	2.108626763	1.06E-15	4.37E-15	1.394406717	3.90E-10	1.26E-09	-0.714220046	0.005450887	0.02588136	0.01980191	0.915562993	0.998531082	-0.694418136	7.46E-05	0.000378155			
YPR151C	SUE1	Protein required for degradation of unstable forms of cytochrome c	5.450346454	5.50E-22	4.52E-21	4.132402443	3.62E-18	2.88E-17	-1.317944011	0.005463143	0.02588136	0.547250086	0.173863992	0.998531082	-0.770693925	0.0008854	0.003254383			
YGL071W	AFT1	Transcription factor involved in iron utilization and homeostasis	-0.374306431	8.33E-05	0.000140146	-0.01962627	0.819309407	0.84318701	0.354680161	0.00548393	0.025958469	0.010622828	0.90209506	0.998531082	0.365302989	0.000108341	0.00052893			
YML008C	ERG6	Delta(24)-sterol C-methyltransferase	-2.40574823	6.52E-32	2.96E-30	-2.10598831	9.53E-30	4.99E-28	0.29975992	0.005501862	0.026021955	0.01724127	0.81147486	0.998531082	0.31700119	8.73E-05	0.000435335			
YEL037C	RAD23	Proteasome-associated ubiquitin receptor	-0.067739706	0.314136562	0.349390629	0.206218889	0.003289603	0.005076396	0.273958594	0.005554762	0.026250585	0.028296636	0.672843558	0.998531082	0.302255231	4.08E-05	0.000223378			
YMR290C	HAS1	ATP-dependent RNA helicase	-4.255453093	1.85E-34	1.64E-32	-3.818787906	4.65E-33	6.69E-31	0.436665187	0.00560192	0.026451726	-0.049283981	0.622626001	0.998531082	0.387381207	0.001236284	0.004331134			
YKL099C	UTP11	Subunit of U3-containing Small Subunit (SSU) processome complex	-4.107393995	1.05E-24	1.22E-23	-3.341745862	1.46E-22	2.11E-21	0.765648133	0.005631287	0.026568595	-0.068480472	0.657393132	0.998531082	0.697167661	0.002111671	0.00691398			
YHR187W	IKI1	Subunit of hexameric RecA-like ATPase Elp456 Elongator subcomplex	-1.570224062	7.21E-20	4.55E-19	-1.172520147	9.48E-16	5.62E-15	0.397703916	0.005644336	0.026608351	-0.016874815	0.857074098	0.998531082	0.380829101	0.000430623	0.001746771			
YER035W	EDC2	RNA-binding protein that directly activates mRNA decapping	0.419729101	0.010492225	0.014341783	-0.253372742	0.143575369	0.175983779	-0.673101843	0.005702109	0.026858704	-0.331452042	0.053866704	0.998531082	-1.004553885	1.25E-07	1.25E-06			
YJL154C	VPS35	Endosomal subunit of membrane-associated retromer complex	1.102877837	2.21E-18	1.17E-17	0.792753831	1.67E-13	7.52E-13	-0.310124006	0.00571157	0.026859313	0.001374443	0.985720736	0.998929735	-0.308749563	0.000155038	0.000723174			
YNL186W	UBP10	"Ubiquitin-specific protease, deubiquitinates Ub-protein moieties"	-1.409128201	2.43E-19	1.45E-18	-1.039988946	6.47E-15	3.45E-14	0.369139255	0.005711318	0.026859313	0.006837063	0.938944951	0.998531082	0.375976318	0.000156812	0.000730788			
YBR191W	RPL21A	Ribosomal 60S subunit protein L21A	-1.859507502	3.23E-19	1.90E-18	-1.37506573	8.31E-15	4.38E-14	0.484441772	0.00577505	0.027135662	-0.040894161	0.730189944	0.998531082	0.443547611	0.000517248	0.002044836			
YDR155C	CPR1	Cytoplasmic peptidyl-prolyl cis-trans isomerase (cyclophilin)	0.710099021	1.04E-06	2.06E-06	0.198010815	0.119732582	0.149108771	-0.512088206	0.005788001	0.027174335	-0.018895593	0.880349687	0.998531082	-0.530983798	0.000110402	0.000538079			
YMR307W	GAS1	"Beta-1,3-glucanosyltransferase required for cell wall assembly"	-2.066937601	5.57E-21	4.06E-20	-1.587258881	5.48E-17	3.80E-16	0.479678719	0.005836913	0.027381637	-0.108196248	0.359686217	0.998531082	0.371482471	0.002789338	0.008792677			
YJL125C	GCD14	Subunit of tRNA (1-methyladenosine) methyltransferase	-2.354287125	1.12E-25	1.47E-24	-1.938881511	6.86E-23	1.05E-21	0.415405614	0.005846225	0.027402988	-0.01966336	0.839034464	0.998531082	0.395742254	0.000557384	0.002179553			
YGR234W	YHB1	Nitric oxide oxidoreductase	1.469354417	6.80E-06	1.26E-05	0.038372981	0.921611303	0.933942722	-1.430981436	0.005864646	0.027466965	-0.796581148	0.037466998	0.998531082	-2.227562584	2.49E-09	3.46E-08			
YFL052W	ZNF1	Zinc cluster transcription factor that regulates respiratory growth	4.822909998	1.77E-21	1.37E-20	3.413438565	2.52E-14	1.25E-13	-1.409471433	0.005876565	0.027500413	-0.339301698	0.430299075	0.998531082	-1.748773131	7.58E-11	1.36E-09			
YGR256W	GND2	6-phosphogluconate dehydrogenase (decarboxylating)	2.155074084	1.71E-10	4.67E-10	0.825789193	0.020068137	0.027957593	-1.329284891	0.005887428	0.027506524	-0.445419785	0.242610402	0.998531082	-1.774704676	1.83E-09	2.58E-08			
YJR092W	BUD4	Anillin-like protein involved in bud-site selection	-2.198753602	2.09E-21	1.60E-20	-1.703144763	5.28E-18	4.15E-17	0.495608839	0.005886885	0.027506524	0.184594823	0.116597251	0.998531082	0.680203661	2.81E-06	2.02E-05			
YMR277W	FCP1	Carboxy-terminal domain (CTD) phosphatase	-0.550525549	6.72E-08	1.48E-07	-0.204264069	0.019630002	0.027384947	0.34626148	0.005895137	0.027520203	-0.048535706	0.568266606	0.998531082	0.297725774	0.001046931	0.003759285			
YIL120W	QDR1	Multidrug transporter of the major facilitator superfamily	-0.640309269	0.007602947	0.010537578	0.302372515	0.199235395	0.23837018	0.942681784	0.00590661	0.027551418	-0.644344147	0.008060495	0.594823173	0.298337637	0.198657148	0.300755009			
YPR075C	OPY2	Integral membrane protein that acts as a membrane anchor for Ste50p	0.896547378	3.06E-15	1.21E-14	0.586336233	1.07E-09	3.28E-09	-0.310211145	0.005913008	0.027558925	-0.018354661	0.813870412	0.998531082	-0.328565806	6.12E-05	0.00031905			
YFL054C	AQY3	Putative channel-like protein	0.321321495	0.082101618	0.100185905	-0.422204578	0.025802935	0.035472103	-0.743526073	0.005923572	0.027585825	0.142212125	0.442494174	0.998531082	-0.601313948	0.001720518	0.005811795			
YBR073W	RDH54	DNA-dependent ATPase	-1.377501616	1.21E-10	3.33E-10	-0.721423314	3.30E-05	6.44E-05	0.656078302	0.005938705	0.027619999	-0.064232708	0.676110522	0.998531082	0.591845594	0.001001304	0.003613482			
YGL243W	TAD1	tRNA-specific adenosine deaminase	-1.225394862	2.22E-11	6.53E-11	-0.674598628	6.63E-06	1.39E-05	0.550796233	0.005944681	0.027619999	0.021057725	0.872309578	0.998531082	0.571853958	0.000168849	0.00078001			
YLR143W	DPH6	Diphthamide synthetase	-0.634828971	1.67E-08	3.88E-08	-0.262440726	0.005634905	0.008444289	0.372388244	0.005945306	0.027619999	0.080624467	0.377897388	0.998531082	0.453012712	1.18E-05	7.41E-05			
